node1,node2,relationship_type,weight
user::srivenkatbabu_sinnasami,user::yuva_ranjitha,co_reviewed_user,1.0
user::anu,user::g_t_g,co_reviewed_user,1.0
user::anu,user::ganesh_m,co_reviewed_user,1.0
user::g_t_g,user::ganesh_m,co_reviewed_user,1.0
user::g_t_g,user::anfas_salim,co_reviewed_user,1.0
user::g_t_g,user::anoop_kamal,co_reviewed_user,1.0
user::g_t_g,user::dark_wizard,co_reviewed_user,1.0
user::g_t_g,user::sree_kumar_a,co_reviewed_user,1.0
user::ganesh_m,user::ajc,co_reviewed_user,1.0
user::ganesh_m,user::roby_soni,co_reviewed_user,1.0
user::ganesh_m,user::saroj,co_reviewed_user,1.0
user::ganesh_m,user::sree_nath,co_reviewed_user,1.0
user::ganesh_m,user::deva_pavi,co_reviewed_user,1.0
user::ganesh_m,user::future_tricks2_0,co_reviewed_user,1.0
user::ganesh_m,user::muhammed_salih_ahamed_athaullah,co_reviewed_user,1.0
user::chitra_murali,user::rahul_s,co_reviewed_user,1.0
user::chitra_murali,user::sathishkumar_balakrishnan,co_reviewed_user,1.0
user::chitra_murali,user::venkat,co_reviewed_user,1.0
user::rahul_s,user::sathishkumar_balakrishnan,co_reviewed_user,1.0
user::rahul_s,user::venkat,co_reviewed_user,1.0
user::sathishkumar_balakrishnan,user::venkat,co_reviewed_user,1.0
user::gayathri_shri_kashyap,user::haston_kumar,co_reviewed_user,1.0
user::gayathri_shri_kashyap,user::prem_kumar,co_reviewed_user,1.0
user::gayathri_shri_kashyap,user::sajin_shereef,co_reviewed_user,1.0
user::gayathri_shri_kashyap,user::snabak_vinod_aj,co_reviewed_user,1.0
user::haston_kumar,user::prem_kumar,co_reviewed_user,1.0
user::haston_kumar,user::sajin_shereef,co_reviewed_user,1.0
user::haston_kumar,user::snabak_vinod_aj,co_reviewed_user,1.0
user::prem_kumar,user::sajin_shereef,co_reviewed_user,1.0
user::prem_kumar,user::snabak_vinod_aj,co_reviewed_user,1.0
user::sajin_shereef,user::snabak_vinod_aj,co_reviewed_user,1.0
user::aravind_r_chandran,user::blessy_babu,co_reviewed_user,1.0
user::aravind_r_chandran,user::greewin_mathew,co_reviewed_user,1.0
user::aravind_r_chandran,user::joshith_jacob,co_reviewed_user,1.0
user::blessy_babu,user::greewin_mathew,co_reviewed_user,1.0
user::blessy_babu,user::joshith_jacob,co_reviewed_user,1.0
user::greewin_mathew,user::joshith_jacob,co_reviewed_user,1.0
user::anupam_purbey,user::devarshi_raj,co_reviewed_user,1.0
user::anupam_purbey,user::dr_kartik_bhadra,co_reviewed_user,1.0
user::anupam_purbey,user::neelesh_panchal,co_reviewed_user,1.0
user::anupam_purbey,user::santhosh_sankaran,co_reviewed_user,1.0
user::devarshi_raj,user::dr_kartik_bhadra,co_reviewed_user,1.0
user::devarshi_raj,user::neelesh_panchal,co_reviewed_user,1.0
user::devarshi_raj,user::santhosh_sankaran,co_reviewed_user,1.0
user::dr_kartik_bhadra,user::neelesh_panchal,co_reviewed_user,1.0
user::dr_kartik_bhadra,user::santhosh_sankaran,co_reviewed_user,1.0
user::neelesh_panchal,user::santhosh_sankaran,co_reviewed_user,1.0
user::abid_suhail,user::nari_soundarrajan,co_reviewed_user,1.0
user::abid_suhail,user::naveen_ks,co_reviewed_user,1.0
user::abid_suhail,user::sethu_n,co_reviewed_user,1.0
user::abid_suhail,user::subhra_kar,co_reviewed_user,1.0
user::abid_suhail,user::bugra_alkan,co_reviewed_user,1.0
user::abid_suhail,user::hari_pranav,co_reviewed_user,1.0
user::abid_suhail,user::saravanan_m,co_reviewed_user,1.0
user::abid_suhail,user::vimal_kumar,co_reviewed_user,1.0
user::nari_soundarrajan,user::naveen_ks,co_reviewed_user,1.0
user::nari_soundarrajan,user::sethu_n,co_reviewed_user,1.0
user::nari_soundarrajan,user::subhra_kar,co_reviewed_user,1.0
user::naveen_ks,user::sethu_n,co_reviewed_user,1.0
user::naveen_ks,user::subhra_kar,co_reviewed_user,1.0
user::sethu_n,user::subhra_kar,co_reviewed_user,1.0
user::aneesh_va,user::arjun_siva,co_reviewed_user,1.0
user::aneesh_va,user::gayathri,co_reviewed_user,1.0
user::aneesh_va,user::nitin,co_reviewed_user,1.0
user::aneesh_va,user::sukesh_s,co_reviewed_user,1.0
user::arjun_siva,user::gayathri,co_reviewed_user,1.0
user::arjun_siva,user::nitin,co_reviewed_user,1.0
user::arjun_siva,user::sukesh_s,co_reviewed_user,1.0
user::gayathri,user::nitin,co_reviewed_user,1.0
user::gayathri,user::sukesh_s,co_reviewed_user,1.0
user::nitin,user::sukesh_s,co_reviewed_user,1.0
user::dr_p_j_george,user::govardhan_s,co_reviewed_user,1.0
user::dr_p_j_george,user::prajjawal_sharma,co_reviewed_user,1.0
user::dr_p_j_george,user::sreekrishnan_a_s,co_reviewed_user,1.0
user::dr_p_j_george,user::viswas_koundinyan_g,co_reviewed_user,1.0
user::govardhan_s,user::prajjawal_sharma,co_reviewed_user,1.0
user::govardhan_s,user::sreekrishnan_a_s,co_reviewed_user,1.0
user::govardhan_s,user::viswas_koundinyan_g,co_reviewed_user,1.0
user::prajjawal_sharma,user::sreekrishnan_a_s,co_reviewed_user,1.0
user::prajjawal_sharma,user::viswas_koundinyan_g,co_reviewed_user,1.0
user::sreekrishnan_a_s,user::viswas_koundinyan_g,co_reviewed_user,1.0
user::ganesan_t,user::journey_with_dds___vlog,co_reviewed_user,1.0
user::ganesan_t,user::seenivasan_ramasamy,co_reviewed_user,1.0
user::ganesan_t,user::thangavelu_arun_kumar,co_reviewed_user,1.0
user::ganesan_t,user::travel_paithiyam,co_reviewed_user,1.0
user::journey_with_dds___vlog,user::seenivasan_ramasamy,co_reviewed_user,1.0
user::journey_with_dds___vlog,user::thangavelu_arun_kumar,co_reviewed_user,1.0
user::journey_with_dds___vlog,user::travel_paithiyam,co_reviewed_user,1.0
user::seenivasan_ramasamy,user::thangavelu_arun_kumar,co_reviewed_user,1.0
user::seenivasan_ramasamy,user::travel_paithiyam,co_reviewed_user,1.0
user::thangavelu_arun_kumar,user::travel_paithiyam,co_reviewed_user,1.0
user::aishu_v,user::kader_sulaiman,co_reviewed_user,1.0
user::aishu_v,user::nomadic_shutter,co_reviewed_user,1.0
user::aishu_v,user::sahil_m,co_reviewed_user,1.0
user::aishu_v,user::somnath_m,co_reviewed_user,1.0
user::kader_sulaiman,user::nomadic_shutter,co_reviewed_user,1.0
user::kader_sulaiman,user::sahil_m,co_reviewed_user,1.0
user::kader_sulaiman,user::somnath_m,co_reviewed_user,1.0
user::nomadic_shutter,user::sahil_m,co_reviewed_user,1.0
user::nomadic_shutter,user::somnath_m,co_reviewed_user,1.0
user::sahil_m,user::somnath_m,co_reviewed_user,1.0
user::lithisha,user::praveen_gopalan,co_reviewed_user,1.0
user::lithisha,user::premz_view,co_reviewed_user,1.0
user::lithisha,user::shamini_kiruba,co_reviewed_user,1.0
user::lithisha,user::suresh_perumal,co_reviewed_user,1.0
user::praveen_gopalan,user::premz_view,co_reviewed_user,1.0
user::praveen_gopalan,user::shamini_kiruba,co_reviewed_user,1.0
user::praveen_gopalan,user::suresh_perumal,co_reviewed_user,1.0
user::premz_view,user::shamini_kiruba,co_reviewed_user,1.0
user::premz_view,user::suresh_perumal,co_reviewed_user,1.0
user::shamini_kiruba,user::suresh_perumal,co_reviewed_user,1.0
user::abhishek_yadav,user::jai_prakash_nain,co_reviewed_user,1.0
user::abhishek_yadav,user::jeyaram_d,co_reviewed_user,1.0
user::abhishek_yadav,user::krishnamurthy_i,co_reviewed_user,1.0
user::abhishek_yadav,user::prakash_photography_tvmalai,co_reviewed_user,1.0
user::jai_prakash_nain,user::jeyaram_d,co_reviewed_user,1.0
user::jai_prakash_nain,user::krishnamurthy_i,co_reviewed_user,1.0
user::jai_prakash_nain,user::prakash_photography_tvmalai,co_reviewed_user,1.0
user::jeyaram_d,user::krishnamurthy_i,co_reviewed_user,1.0
user::jeyaram_d,user::prakash_photography_tvmalai,co_reviewed_user,1.0
user::krishnamurthy_i,user::prakash_photography_tvmalai,co_reviewed_user,1.0
user::jose_wesley,user::kaarthikeyan,co_reviewed_user,1.0
user::jose_wesley,user::karthik_velmurugan,co_reviewed_user,1.0
user::jose_wesley,user::sabari_nathan,co_reviewed_user,1.0
user::jose_wesley,user::sathya_raghu,co_reviewed_user,1.0
user::kaarthikeyan,user::karthik_velmurugan,co_reviewed_user,1.0
user::kaarthikeyan,user::sabari_nathan,co_reviewed_user,1.0
user::kaarthikeyan,user::sathya_raghu,co_reviewed_user,1.0
user::karthik_velmurugan,user::sabari_nathan,co_reviewed_user,1.0
user::karthik_velmurugan,user::sathya_raghu,co_reviewed_user,1.0
user::sabari_nathan,user::sathya_raghu,co_reviewed_user,1.0
user::arunkumar_thangasamy,user::jenifer_julie,co_reviewed_user,1.0
user::arunkumar_thangasamy,user::nazeer_hussain__ஒண_ட_ப_ல,co_reviewed_user,1.0
user::arunkumar_thangasamy,user::praise_by_andria_gracious,co_reviewed_user,1.0
user::arunkumar_thangasamy,user::surya_k,co_reviewed_user,1.0
user::jenifer_julie,user::nazeer_hussain__ஒண_ட_ப_ல,co_reviewed_user,1.0
user::jenifer_julie,user::praise_by_andria_gracious,co_reviewed_user,1.0
user::jenifer_julie,user::surya_k,co_reviewed_user,1.0
user::nazeer_hussain__ஒண_ட_ப_ல,user::praise_by_andria_gracious,co_reviewed_user,1.0
user::nazeer_hussain__ஒண_ட_ப_ல,user::surya_k,co_reviewed_user,1.0
user::praise_by_andria_gracious,user::surya_k,co_reviewed_user,1.0
