node,graph_name,node_type,place_id,label,category,rating,total_user_ratings,formatted_address,taluk,micro_region
place::ChIJITuH6jEoBDsRU0_yLDXVRqo,place_network,place,ChIJITuH6jEoBDsRU0_yLDXVRqo,Anniyan Parai View Point,tourist_attraction,4.3,903,"X85Q+7R5, Tamil Nadu 627814, India",Tenkasi,Tenkasi
place::ChIJER8LMBfVBTsR75-rEdGnPi4,place_network,place,ChIJER8LMBfVBTsR75-rEdGnPi4,Rajathottam view Point,nature_preserve,4.6,782,"X52X+849, Tamil Nadu 627809, India",Tenkasi,Tenkasi
place::ChIJWf8oCTHWBTsRPiZtpzQjC0Q,place_network,place,ChIJWf8oCTHWBTsRPiZtpzQjC0Q,Pallamvetty Saddle Dam,tourist_attraction,4.2,750,"W3X7+3Q6, SH59, Thenmala, Kerala 691310, India",Tenkasi,Tenkasi
place::ChIJmUq4_BaHBjsR_okcte-TvjE,place_network,place,ChIJmUq4_BaHBjsR_okcte-TvjE,Mekkarai Amusement Park,amusement_park,4.6,731,"Misty Moutain Estate, Aagasthiyar kovil street, Panboli, Mekkarai, Tamil Nadu 627807, India",Shenkottai,Shenkottai
place::ChIJ-9OaB36dBjsRlaENbL5P1ko,place_network,place,ChIJ-9OaB36dBjsRlaENbL5P1ko,Surandai market,market,4.2,703,"old Bus stand, Sivagurunathapuram, Surandai, Tamil Nadu 627859, India",Veerakeralampudur,Veerakeralampudur
place::ChIJA771Nu19BjsRu-mZnMyN80c,place_network,place,ChIJA771Nu19BjsRu-mZnMyN80c,Manalar Waterfalls(achankoil),tourist_attraction,4.4,658,"Divisional Forest Officer, Divisional Forest Office, 35CJ+XH6, Achankoil Road, Kerala 689691, India",Tenkasi,Tenkasi
place::ChIJ_9tz5U4qBDsRge10f2JIiNM,place_network,place,ChIJ_9tz5U4qBDsRge10f2JIiNM,Boat House - Courtallam குற்றாலம் படகு குழாம்,tourist_attraction,4.0,588,"Five Falls Main Rd, Courtallam, Tamil Nadu 627802, India",Tenkasi,Tenkasi
place::ChIJKxkbwjYqBDsRm9JusPV_SjQ,place_network,place,ChIJKxkbwjYqBDsRm9JusPV_SjQ,Chitraruvi,tourist_attraction,4.4,540,"W7J9+J53, Courtallam, Tamil Nadu 627802, India",Tenkasi,Tenkasi
place::ChIJrZudDynWBTsRgmRjpkW8rxI,place_network,place,ChIJrZudDynWBTsRgmRjpkW8rxI,Thenmala Dam Bridge,bridge,4.4,510,"X357+2QM, SH 2, Thenmala, Kerala 691308, India",Tenkasi,Tenkasi
place::ChIJ8cPCGwr1BjsR4eqs0jIFZmY,place_network,place,ChIJ8cPCGwr1BjsR4eqs0jIFZmY,Ranni Forest Division,nature_preserve,4.4,485,"75QC+PJJ, Gavi-Moozhiayar Road, Chittar-seethathodu, Kerala 689699, India",Tenkasi,Tenkasi
place::ChIJH0lvh7pfBDsR4JZ68aVoA5A,place_network,place,ChIJH0lvh7pfBDsR4JZ68aVoA5A,Kuthara Paanjan Waterfalls,tourist_attraction,4.4,405,"9G2P+WPV, Mahendragiri R.F., Tamil Nadu 629851, India",Tenkasi,Tenkasi
place::ChIJYYLr_vB_BjsRgDn7xtJVMDQ,place_network,place,ChIJYYLr_vB_BjsRgDn7xtJVMDQ,Kottavasal View Point,tourist_attraction,4.4,388,"SH 39, Tamil Nadu 627813, India",Tenkasi,Tenkasi
place::ChIJGdrFgPSFBjsRhm_nL3wfsO8,place_network,place,ChIJGdrFgPSFBjsRhm_nL3wfsO8,Kadayanallur Karuppanadhi Dam,tourist_attraction,4.4,372,"48P4+VM8, Tirunelveli, Vairavankulam R.F., Tamil Nadu 627751, India",Tenkasi,Tenkasi
place::ChIJ2TouncYpBDsRX7hAWeaci8A,place_network,place,ChIJ2TouncYpBDsRX7hAWeaci8A,"St. Michael's Shrine, Tenkasi",church,4.5,354,"X838+6X9, Melapuliyur, Tenkasi, Tamil Nadu 627811, India",Tenkasi,Tenkasi
place::ChIJu6_7thuBBjsRVg9YNd4l0is,place_network,place,ChIJu6_7thuBBjsRVg9YNd4l0is,Panpoli Park,park,3.9,352,"26FX+XFC, Panboli, Tamil Nadu 627807, India",Tenkasi,Tenkasi
place::ChIJKav0Do8pBDsRONXe_wPVWg4,place_network,place,ChIJKav0Do8pBDsRONXe_wPVWg4,Thirumalai Murugan Temple,hindu_temple,4.6,348,"Unnamed Road, Tenkasi, Thenpothai, Tamil Nadu 627814, India",Tenkasi,Tenkasi
place::ChIJQ1jykPgqBDsRWh_K8EP8SzM,place_network,place,ChIJQ1jykPgqBDsRWh_K8EP8SzM,Eco park courtallam,park,4.3,309,"Near, Five Falls Main Rd, Tamil Nadu 627802, India",Tenkasi,Tenkasi
place::ChIJF1I-4B8uBDsRBisQ2NN5OiQ,place_network,place,ChIJF1I-4B8uBDsRBisQ2NN5OiQ,Kadana Nathi Dam,lake,4.6,297,"Kadana Nathi Dam, Tamil Nadu 627412",Tenkasi,Tenkasi
place::ChIJTQ51yEc5BDsRchgzbmWedQM,place_network,place,ChIJTQ51yEc5BDsRchgzbmWedQM,Ambai Periyakovil Padithurai,hindu_temple,4.5,291,"MFW4+4XM, Ambasamudram, Tamil Nadu 627416, India",Tenkasi,Tenkasi
place::ChIJ308m0RKDBjsRZ0cQTKNjysU,place_network,place,ChIJ308m0RKDBjsRZ0cQTKNjysU,Sunflower Garden,tourist_attraction,4.5,280,"X9XJ+CHP, Sambavarvadakarai, Tamil Nadu 627856, India",Tenkasi,Tenkasi
place::ChIJs9Dr4fU5BDsRqbyRIkbSoBk,place_network,place,ChIJs9Dr4fU5BDsRqbyRIkbSoBk,Amma Park,park,4.2,280,"PC6G+7M3, Agasthiyarpatti, Mannarkovil, Tamil Nadu 627428, India",Tenkasi,Tenkasi
place::ChIJ4ad1C085BDsR-sHSg1RYqGI,place_network,place,ChIJ4ad1C085BDsR-sHSg1RYqGI,Sankaralinga samy padithurai,tourist_attraction,4.5,277,"MCPQ+R25, Sankarankovil Rd, Tamil Nadu 627416, India",Sankarankovil,Sankarankovil
place::ChIJv4DWN_M7BDsRLxeax-9oHoE,place_network,place,ChIJv4DWN_M7BDsRLxeax-9oHoE,Athiri Malai Temple,hindu_temple,4.6,276,"kadana dam, Alwarkurichi, Papanasam R.F., Tamil Nadu 627412, India",Tenkasi,Tenkasi
place::ChIJPfdqvkIoBDsRULHUSqls3ZE,place_network,place,ChIJPfdqvkIoBDsRULHUSqls3ZE,Kushi Water Park,water_park,3.3,248,"Megnanapuram, Tenkasi, Tamil Nadu 627814, India",Tenkasi,Tenkasi
place::ChIJzwJEEgjnBjsR0AN97RqwiyM,place_network,place,ChIJzwJEEgjnBjsR0AN97RqwiyM,Katalagar waterfalls,tourist_attraction,4.5,228,"HH85+7C8, Katalgar Temple Walk, Valaikkulam R.F., Tamil Nadu 626125, India",Tenkasi,Tenkasi
place::ChIJ2eXb9TDWBTsRApB9tySLwcY,place_network,place,ChIJ2eXb9TDWBTsRApB9tySLwcY,"Dam Boating Point, Thenmala,Kollam",tourist_attraction,4.4,222,"W3X7+4W4, Thenmala, Kerala 691310, India",Tenkasi,Tenkasi
place::ChIJYfpHd9CBBjsR0OVER0vPDzQ,place_network,place,ChIJYfpHd9CBBjsR0OVER0vPDzQ,Muthusamy Park,park,3.9,221,"X7G2+688, Shenkottai, Tamil Nadu 627809, India",Shenkottai,Shenkottai
place::ChIJDbOCbOEpBDsRGXzqHo5TGck,place_network,place,ChIJDbOCbOEpBDsRGXzqHo5TGck,Ai4 Imaging and Indexing Private Limited,bridge,4.3,220,"Railway Rd, Tenkasi, Tamil Nadu 627811, India",Tenkasi,Tenkasi
place::ChIJDQL5k-0rBDsRO0l-ghJ0xPI,place_network,place,ChIJDQL5k-0rBDsRO0l-ghJ0xPI,Gundar Private Falls,tourist_attraction,4.4,217,"Gundar dam, Kannupuli Mettu Rd, Shenkottai, Puliyarai R.F. Part, Tamil Nadu 627809, India",Shenkottai,Shenkottai
place::ChIJpyjnUcgqBDsRqKglR-rR6ic,place_network,place,ChIJpyjnUcgqBDsRqKglR-rR6ic,Kannupuli Mettu Falls,tourist_attraction,4.5,202,"Kannupuli Mettu Rd, Shenkottai, Puliyarai R.F. Part, Tamil Nadu 627809, India",Shenkottai,Shenkottai
place::ChIJMQJVGvJDBDsRlDNht-TnmEc,place_network,place,ChIJMQJVGvJDBDsRlDNht-TnmEc,Thenga urili falls,tourist_attraction,4.5,184,"GGH5+99Q, Talayanai Rd, Kalakadu R.F, Tamil Nadu 627501, India",Tenkasi,Tenkasi
place::ChIJ____vx8uBDsRdy596_hZp7Y,place_network,place,ChIJ____vx8uBDsRdy596_hZp7Y,Kadana Nathi Dam,tourist_attraction,4.7,178,"Kadana Nathi Dam, Papanasam R.F., Tamil Nadu 627412, India",Tenkasi,Tenkasi
place::ChIJ4ctFls0pBDsRULXiO18rTCc,place_network,place,ChIJ4ctFls0pBDsRULXiO18rTCc,Kizhapuliyur sub post office,park,4.1,177,"Tenkasi, Tamil Nadu 627814, India",Tenkasi,Tenkasi
place::ChIJ695M_corBDsRnPDPpXIaNdY,place_network,place,ChIJ695M_corBDsRnPDPpXIaNdY,Shenbaga Devi Waterfalls,tourist_attraction,4.5,168,"W7C8+WGG, Courtallam Slopes R.F., Tamil Nadu 627802, India",Tenkasi,Tenkasi
place::ChIJJ329cx82BDsRg4-Ca4VCsmE,place_network,place,ChIJJ329cx82BDsRg4-Ca4VCsmE,Paana Theertham water Falls,tourist_attraction,4.5,167,"J8G5+P83, Papanasam R.F., Tamil Nadu 627425, India",Tenkasi,Tenkasi
place::ChIJ9dVwpNXlBjsRYDGYo7XkJsE,place_network,place,ChIJ9dVwpNXlBjsRYDGYo7XkJsE,Ayyanar Kovil Waterfalls,tourist_attraction,4.3,161,"GCCX+65V, Tamil Nadu 626117, India",Tenkasi,Tenkasi
place::ChIJwW9191LmBjsRkZD5R5tjbhc,place_network,place,ChIJwW9191LmBjsRkZD5R5tjbhc,Rakachi Amman kovil Water Falls,tourist_attraction,4.5,157,"GGJ7+V9C, Rajapalayam, Tamil Nadu 626117, India",Tenkasi,Tenkasi
place::ChIJT0cJOkIvBDsRp3Dc1hZZjns,place_network,place,ChIJT0cJOkIvBDsRp3Dc1hZZjns,Ramanadhi Dam,tourist_attraction,4.6,155,"R8W8+HJJ, Dam Entry Rd, Melakadaiyam, Tamil Nadu 627415, India",Tenkasi,Tenkasi
place::ChIJJ2IpcmrdBjsRiMBIP75mPrI,place_network,place,ChIJJ2IpcmrdBjsRiMBIP75mPrI,Shenbaga Thoppu,tourist_attraction,4.5,154,"Srivilliputhur, Tamil Nadu 626117, India",Tenkasi,Tenkasi
place::ChIJXS_d0_rsBjsR625dSb4lWg4,place_network,place,ChIJXS_d0_rsBjsR625dSb4lWg4,"Arulmigu Koodara Paarai Sri.Bala Subramania Swamy Malai Kovil, Sivagiri",hindu_temple,4.7,137,"9C3M+99W, Viswanathapperi, Tamil Nadu 627757, India",Tenkasi,Tenkasi
place::ChIJy8yX9TEjBDsRKrgdgJb00ro,place_network,place,ChIJy8yX9TEjBDsRKrgdgJb00ro,Break Spot,cafe,4.4,122,"VFFC+2W2, Tenkasi - Tirunelveli Rd, Alangulam, Kaluneerkulam, Tamil Nadu 627851, India",Tenkasi,Tenkasi
