node,graph_name,node_type,place_id,label,category,rating,total_user_ratings
place::ChIJKav0Do8pBDsRONXe_wPVWg4,user_place_bipartite,place,ChIJKav0Do8pBDsRONXe_wPVWg4,Thirumalai Murugan Temple,hindu_temple,4.6,348.0
place::ChIJQ1jykPgqBDsRWh_K8EP8SzM,user_place_bipartite,place,ChIJQ1jykPgqBDsRWh_K8EP8SzM,Eco park courtallam,park,4.3,309.0
place::ChIJF1I-4B8uBDsRBisQ2NN5OiQ,user_place_bipartite,place,ChIJF1I-4B8uBDsRBisQ2NN5OiQ,Kadana Nathi Dam,lake,4.6,297.0
place::ChIJTQ51yEc5BDsRchgzbmWedQM,user_place_bipartite,place,ChIJTQ51yEc5BDsRchgzbmWedQM,Ambai Periyakovil Padithurai,hindu_temple,4.5,291.0
place::ChIJ308m0RKDBjsRZ0cQTKNjysU,user_place_bipartite,place,ChIJ308m0RKDBjsRZ0cQTKNjysU,Sunflower Garden,tourist_attraction,4.5,280.0
place::ChIJs9Dr4fU5BDsRqbyRIkbSoBk,user_place_bipartite,place,ChIJs9Dr4fU5BDsRqbyRIkbSoBk,Amma Park,park,4.2,280.0
place::ChIJ4ad1C085BDsR-sHSg1RYqGI,user_place_bipartite,place,ChIJ4ad1C085BDsR-sHSg1RYqGI,Sankaralinga samy padithurai,tourist_attraction,4.5,277.0
place::ChIJv4DWN_M7BDsRLxeax-9oHoE,user_place_bipartite,place,ChIJv4DWN_M7BDsRLxeax-9oHoE,Athiri Malai Temple,hindu_temple,4.6,276.0
place::ChIJPfdqvkIoBDsRULHUSqls3ZE,user_place_bipartite,place,ChIJPfdqvkIoBDsRULHUSqls3ZE,Kushi Water Park,water_park,3.3,248.0
place::ChIJzwJEEgjnBjsR0AN97RqwiyM,user_place_bipartite,place,ChIJzwJEEgjnBjsR0AN97RqwiyM,Katalagar waterfalls,tourist_attraction,4.5,228.0
place::ChIJ2eXb9TDWBTsRApB9tySLwcY,user_place_bipartite,place,ChIJ2eXb9TDWBTsRApB9tySLwcY,"Dam Boating Point, Thenmala,Kollam",tourist_attraction,4.4,222.0
place::ChIJYfpHd9CBBjsR0OVER0vPDzQ,user_place_bipartite,place,ChIJYfpHd9CBBjsR0OVER0vPDzQ,Muthusamy Park,park,3.9,221.0
place::ChIJDbOCbOEpBDsRGXzqHo5TGck,user_place_bipartite,place,ChIJDbOCbOEpBDsRGXzqHo5TGck,Ai4 Imaging and Indexing Private Limited,bridge,4.3,220.0
place::ChIJDQL5k-0rBDsRO0l-ghJ0xPI,user_place_bipartite,place,ChIJDQL5k-0rBDsRO0l-ghJ0xPI,Gundar Private Falls,tourist_attraction,4.4,217.0
