node1,node2,relationship_type,weight
place::ChIJLXq4koaBBjsRPotpsyTXmss,user::karthick_sudarsan,reviewed,1.0
place::ChIJ3SL2-ywqBDsReqhmPpQ1N6Y,user::snabak_vinod_aj,reviewed,1.0
place::ChIJ3SL2-ywqBDsReqhmPpQ1N6Y,user::gayathri_shri_kashyap,reviewed,1.0
place::ChIJ3SL2-ywqBDsReqhmPpQ1N6Y,user::prem_kumar,reviewed,1.0
place::ChIJ3SL2-ywqBDsReqhmPpQ1N6Y,user::haston_kumar,reviewed,1.0
place::ChIJ3SL2-ywqBDsReqhmPpQ1N6Y,user::sajin_shereef,reviewed,1.0
place::ChIJWcTJw2E4BDsRSCgWFmBhTmA,user::srivenkatbabu_sinnasami,reviewed,1.0
place::ChIJWcTJw2E4BDsRSCgWFmBhTmA,user::shyam_sundar,reviewed,1.0
place::ChIJWcTJw2E4BDsRSCgWFmBhTmA,user::yuva_ranjitha,reviewed,1.0
place::ChIJWcTJw2E4BDsRSCgWFmBhTmA,user::vinoth_kumar,reviewed,1.0
place::ChIJWcTJw2E4BDsRSCgWFmBhTmA,user::kumaresan_lakshmanan,reviewed,1.0
place::ChIJyynNh8AqBDsRiwzRqzGp6EU,user::ச_ர_ந_தர__க_ம_ர,reviewed,1.0
place::ChIJyynNh8AqBDsRiwzRqzGp6EU,user::shotsby_senthil,reviewed,1.0
place::ChIJyynNh8AqBDsRiwzRqzGp6EU,user::writer_and_traveller,reviewed,1.0
place::ChIJyynNh8AqBDsRiwzRqzGp6EU,user::dinesh_e,reviewed,1.0
place::ChIJyynNh8AqBDsRiwzRqzGp6EU,user::selva_selva,reviewed,1.0
place::ChIJx3oBXj-HBjsRE_nhoTDm7QE,user::rakesh_s,reviewed,1.0
place::ChIJx3oBXj-HBjsRE_nhoTDm7QE,user::046_venkatesh_m_k,reviewed,1.0
place::ChIJx3oBXj-HBjsRE_nhoTDm7QE,user::vinoth_kumar,reviewed,1.0
place::ChIJx3oBXj-HBjsRE_nhoTDm7QE,user::athul_jeev,reviewed,1.0
place::ChIJx3oBXj-HBjsRE_nhoTDm7QE,user::suresh_jesu,reviewed,1.0
place::ChIJdS50RessBDsRIrl0s_laps0,user::siju_mohan,reviewed,1.0
place::ChIJdS50RessBDsRIrl0s_laps0,user::jonathan_jackson,reviewed,1.0
