place_id,place_name,category,rating,total_user_ratings,types,formatted_address,google_maps_url,summary,photo_name,photo_count
ChIJNTlP4oYvBDsRzFjXuufmSLA,Ramanathi River View Point,tourist_attraction,4.3,53,tourist_attraction|point_of_interest|establishment,"R8RM+P6C, Melakadaiyam, Tamil Nadu 627415, India",https://maps.google.com/?cid=12702656631944992972&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,places/ChIJNTlP4oYvBDsRzFjXuufmSLA/photos/Ab43m-tX4-bfYNrnOHlAltlDMwwdeX9lV41ejE66hWcHkntX3V-TdrMSsXdSd-bHGFfZ0Jz-NIvTF2xTNbwoTiuQQOhAGKAZMKGpEaevbUmHJ_2n71G7luL0lj_4miVXYzrIqLXkRGPVMcPjZBt2sYZBkd5q4zBXxsZz30wotSVDf-fulJg1lE2u2H2iQtt7uu4FM0kmvLBNlhWsmnY1g2BTCQUfywuaXpnGxvI5xKwZ8E4IVagD8it_j8bqU7HwE5Vlt1xe--J5UFxEKbRWYRJ_Ej9A35BXr5BsiUn9BlNFpp8FXQnq1dHux4KxfBNJ9y60xF5QAnUqoXloVRvvCEJ6oIsfuAtD4yqvDXsSzjg1yg9DWn1eu7vIJbYNXBmQpxNwmEg-TeisoZ856PLoXhC2N83rJT0Yt3qDkAgO6a-LNIDau4aH,10
ChIJCW90tIC5BjsRvx0oTnleNA4,Thiruvengadam taluk office,shopping_mall,3.3,53,shopping_mall|point_of_interest|establishment,"7M6F+RQ6, Thiruvengadam, Tamil Nadu 627719, India",https://maps.google.com/?cid=1023546890415250879&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,places/ChIJCW90tIC5BjsRvx0oTnleNA4/photos/Ab43m-sr-Uj22m28eBzG5nho2m_QxVZoOxU4vukX9Y9UVIe3XaTVmWkvIrPNjG-oeSDpMR8mc4RRlpY2mjxOvQJN57amckX_0nJb6-AemtKwTQ7CFwXmGVHUEaOOerhRy1_JhNrSlc-qLZcLo4hgf8itrnXif_j1d--Mwhku-HIx7rwJMbhXasrOMwiF-dOqHD0DGTt-bnhzPd1jSTEvNDx0JPXXLXhmbmLUw3KYUOa4x9y-kSgwl6BJRt1SBMoYrGm1rmPXcTG7o3XLt19YvHLg5D0uj2obKdybwUfNzQIyvIy2caUPHGHja86jDNvYyYYoKYSdWk2uzUHtb3VZtbLOLQahLfrjTXFYhgHeau0Ok_-RpHzfN8-nRKHXZPyRu9dfapthFlOUuzJNXSYdchoI5ZHHTkf7W2va-T6edZ70JoN1eA,10
ChIJxQpqzU5_BjsRqcYtZsnj2bA,Bhagavathipuram water falls,tourist_attraction,4.5,48,tourist_attraction|point_of_interest|establishment,"25GG+FR, Puliyarai R.F. Part, Tamil Nadu 627813, India",https://maps.google.com/?cid=12743467074763736745&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,places/ChIJxQpqzU5_BjsRqcYtZsnj2bA/photos/Ab43m-sTcehJ8V9Qshdy1NaL-DvRT2D2vy47S3mGpFuBdh_SWnPn7Pj9uWSswZHAwQAPCyrOBY6KgUL0_8WJqDbptMsk2t5QlRxG2sb8SibTL43gDHW87XPSkaL9U9rmKSeA2jpXPRiXfbMengfN7JMKT7i3mYXfCRr4w0ZUgZwtLTWHUy0JhLxOPE1BJI82cDvgYj4Bp1aPmFiXZGBlb328OuyBm6QSuxzrKxW42fahRKMlZPA1w9ioTmWpKjcWfPybTWPVjnSO2HSIdRBUYBigpNQD8HnQhrwoAqqE3dKUoFrv-dLCAUYQaXbtIglVX4vg_1yC5P-ss5H56NIiQ8r3gDlfxggXxicHEVUxYaUaDZLJszvx222H8_Uu56wuqAmru9mSRDv6bThq8z7V-MRUkopbhXZBf5AwnYPfLHgkPyoeplE,10
ChIJr72NwE6DBjsRvST4d7NaI3s,Tenkasi Municipal Park,park,3.9,48,park|point_of_interest|establishment,"X8F4+RG8, Tenkasi Housing Board, Tenkasi, Tamil Nadu 627811, India",https://maps.google.com/?cid=8873035417708405949&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,places/ChIJr72NwE6DBjsRvST4d7NaI3s/photos/Ab43m-slQUtOxWRINeRsE2Z8zhNgxe6zlXZP6VUFy2qPaqwSvVorN3qslZ5JG-cxZnNTipT0kzbGnyKaOhWgqtCX4sWPk2uy97dYLSNXnh6I8YwF5NYZ_JHzV2Xfe6kX8ZKGanN259WqAvIFFvSCPx5J8tfZp40YrEUnm3ur80i38K_S7IGItNFF2n1CA6E92apc0kzwsne5tHBpAZT0tpU_8ug4lrFoZn5GTYFIzWeFs_L0-nnyg0nR6CK7Zn1oSMDX5674cbciSdAw7E8wO3QX-C52gAA4sh3UQHK6vaYPdAlQ5pdyBHZXTS4LKtud_rqZVD13_oFAxnjD0ttX32WMwfrlC5EX10K6TZYGRvg2S-hu_6U-Ot9UtbzGjxDnFWJ4S7BGvAdJKoyO8S1l0vLatIxOK3BBdD9F9USCZLE1JAntgjYv,10
ChIJ55TLRMQpBDsR2NtNHVFpAbA,Ambi Paara,tourist_attraction,4.0,47,tourist_attraction|point_of_interest|establishment,"X85Q+7R5, Unnamed Road, Tenkasi, Tamil Nadu 627814, India",https://maps.google.com/?cid=12682533822756936664&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,places/ChIJ55TLRMQpBDsR2NtNHVFpAbA/photos/Ab43m-tZ0zRBbQlzir2W8MbxjyoARj5e3agnxZ-pc_ApsS-ai7Wbiwl6JIjbS_lgFYiZOhTrRcsEU1QMRHLxZLvMgdjI0QwPCQUsvjm_SNNri7IgNNJtVflYTvK2akXp-vjxlG8M4UckwHwNnQB6Nq2fkX7y8nR_C0s3nuoKywHjlzn_rd4NgyTI9cM1LC385fEquwPI_2JHxoPqTg5tREewk9PQXjHrhqKJdlesVNTB6S8CF76nggc6i0Ps0wUq70ktKXNVIZ1kklPEOtUcjMCXKqcDlzo5dhknxZ3ZzttFcJ5Pq5jYresooZVkvzbwskKfdA9pwyMB5nUFCJYznvmEyu6Y3z5Z_8Uuig7leUd7NISUqPfyWg1y1phPSlb57bJEMlHpFnf8U2Fro_wKRBsgRw8CHIREE7NzGH5KK1dT6fnvDg,10
ChIJX6BjwiEnBDsRJ_cID8CZrMc,Veerakeralampudur,hindu_temple,4.0,47,hindu_temple|place_of_worship|point_of_interest|association_or_organization|establishment,"WCMX+R6M, Tirunelveli, Veerakeralampudur, Tamil Nadu 627861, India",https://maps.google.com/?cid=14388043959706908455&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,places/ChIJX6BjwiEnBDsRJ_cID8CZrMc/photos/Ab43m-tBmxlzLPfjQT9ep-xSttSyUTwsgcPJK59gdWYyRMv9Qx5B1Aradm9CipaMpZOqHdqx71KkXqSefkZC46e3mnvTzxE_f7nXxZmjJ--5QRhOB9mBjypc8uWVi7_HeqpjLqekj4yZ6_vOPWblV1y569QBE6i-njJQ9C6TzcooWP1OVtWVP2Sr7Vp60DZHEhBY3Zl0aubzZX6kUosGTnirxsjVS7LAdjZOi-C8vrEuhYSqr075k0T4-Pk81ocpO4CCX3pYFap7SuhIonHA-Sks3CLGbY6irDy0djga9r3ObCAT9n7MlV44mhYjs8wMeW2PGfbXLVL-Lnipnthihc7FsrJ5g2Yj-AdLK0HcDiiL9y3JTjkeZIIBu5x-4Ul6U-PDYfoTpljpDZStY5Z_AO0iX106MF4nXdBYie6p0OKRwiDEXA,10
ChIJD43vCQCHBjsRweVMYff8XNw,Dam View Point,tourist_attraction,4.3,45,tourist_attraction|point_of_interest|establishment,"36CJ+QQ4, MDR924, Mekkarai, Puliyarai R.F. Part, Tamil Nadu 627807, India",https://maps.google.com/?cid=15878844525621077441&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,places/ChIJD43vCQCHBjsRweVMYff8XNw/photos/Ab43m-t3s6s0aFM7S8PQuc3sXX11NVzacfbsUSCZEFmzKxYkzZq9NRxgDXW5DSdmkp8VB-mfHMCqubvwazRwtHOIB05Aaw3gsu5GtyiZkf0IVef9XwmIwItPVc5-3o3TmUWrJC85Tyn8M3mBThoaI4xodMjEbzArDgkAoka3macm6DDuw6bXJXYu5OdEa7hkNmAxWIm52Htc-xHs-taV0or_gsDuXu9uV1BpRsNcybYzwcQwI1tjb5hJWBLszRzMgFWFfPLd1gm0eH-Bt0EFLDro_ID-TDzfpl6jfBdEpt-L5Eo77-R_7ku2KArriQ9T3RMSAedIXfDCEJWkAoz7_FgL_e5bDvuMOIzbpyLPaPTHjgAftaD9bRO1R--wK7BAg-g0P8_8STkXqM-oztWWY0vpZ2WJ8J--1E4pDs95QyFpb4vd6-tEXIlMv2d-IFfDQ4K-,10
ChIJy2EmcOYpBDsReZOrnAi6nak,Tenkasi Lake,lake,3.9,42,lake|natural_feature|establishment,"Tenkasi Lake, Tenkasi, Tamil Nadu 627811",https://maps.google.com/?cid=12222129509904388985&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,places/ChIJy2EmcOYpBDsReZOrnAi6nak/photos/Ab43m-vxgIXWgHv2nx22wj5OLEboZoYxmnk1ChQJQuUVKcn1Pbqewe2gKO6HkpZymGqi5iLj0lt2wQbQzr0ZPOk32xiR1cOeeXNVwynWcv5tl9sBpu6rQ5vs2oFLd38GZN9896tqcAkxdKSFlZllElZ6g1P-U-0Are0ffV4-IhvJiWcGGi3WGlCsfzvW_gDXdt0Ceg1aRfXjbJIVeI19sxOwrwfQcVx0mVwtsMK_Mm_Ql_4-yuIckc61i5xTGH_pOyeLLNjLnOSy0dXxV0S0UZ0maAcgtCeF2OS1uE0DgRO0hc0O_JQtSQZsP73_rL24QkEmaG_69d5yCLrgp4pWqOOtcqWidb90Cc45T5GvQ0bqVG7iivaqGPbwO3nTM31h3rvb_Xw0OBNHIK7GxsTp80o7T-1vvEvchXN8eGlqVxAmYUJZQQ,9
ChIJ_TQF9R4VBDsRrCuTbflWOow,Cheranmahadevi thamirabarani river bathing point,tourist_attraction,4.5,41,tourist_attraction|point_of_interest|establishment,"PH27+3X4, Cheranmahadevi, Tamil Nadu 627010, India",https://maps.google.com/?cid=10104484343244336044&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,places/ChIJ_TQF9R4VBDsRrCuTbflWOow/photos/Ab43m-sXguG2TL3vGv4xuQD8rqksUoDjhhEx8nUFgVhAoBo4PJoAtMmHJcRZqKvOkSJGzw7YQs16h2p38TZNwPazq8-LdSyriL7hLeiW9UgYOycn0mGk7343qHOnk7lmt7eviwuoEnslwBWvT_fbIL0Z-Oqv-jjhb_otM0_rzPiSPF8LRpXZXwwEQlMAtZ5lReEuDWKfrBvvgWEgRrc2vhmiC_K_AsOG2t5kvUCCR9qztKkTIY-1O-1hPzQX2iWTfamdMZ3cnojdhP_RuZWOX5igXf3g8IUjVgYl5b3eNN3ONEBuy4dPprbtgAt079bSAZuqdEcLdxGGPCUxTUzKhiXkIymsamLpt7XMuttb_EHqjtOlcCgGzRXGhOUtMoY24_lvquEzUK4j3p1Ic1zqtHZ0ELPhAZ1Cu3GlIaky8hBfHtNoKw,10
ChIJs5yD-vMjBDsRqDUAR4-_uAk,Ramar Temple Arch,hindu_temple,4.3,41,hindu_temple|place_of_worship|association_or_organization|point_of_interest|establishment,"VFCG+JJC, SH 39, Alangulam, Kaluneerkulam, Tamil Nadu 627851, India",https://maps.google.com/?cid=700520364148536744&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,places/ChIJs5yD-vMjBDsRqDUAR4-_uAk/photos/Ab43m-tCOk4JnzeDxOlmDlnDQvY35ZDq5NNoLuFHRQAApNKeSItWU71BM5H1SKso5jRhYnVSa2O04VmdH15P5RRyy4GlFQSAXzaNddZmzIovQqppC5zyG5QbloZF1ss7HWncJugDoTCfiNId1rZ-JqB4BOqqg7-izu695h565C0wheIpJjT5Yyg4AeJWVAoC6viL8SOiYpysaZVdqX03nXJ01zbbDvOaVwj5zKqZQVxSy0j5n-tzBmlZRO4naTFJ4I8kIA4OWnVW0huO4G7Nzg8GoNqDzcJ843Yiw--GlTveTMu7Rq9YN63gTMvDQhgxuaQQbygdE1G84uFBDnBPmzVgKItM_FSIRQVONkeJSzy1own54qd_SKTcI7nbd5fdWzlmEtVh-g7c8aKJWTCvOCOLL74eH1Ss9xqcvIlIs-Z1__f0waxh,10
