node,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,katz_centrality,pagerank,hits_hub,hits_authority,label,node_type,average_rank
user::anton_antony,0.005494505494505495,0.0,0.0353859976501486,0.0,0.03698276858993695,0.0011559642589438123,0.001352062891864736,0.001352062891864737,Anton Antony,user,145.125
user::sylvia_anita,0.005494505494505495,0.0,0.0353859976501486,0.0,0.036982768589936925,0.0011559642589438123,0.0013520628918647357,0.001352062891864738,Sylvia Anita,user,145.5
user::shyam_anton,0.005494505494505495,0.0,0.0353859976501486,0.0,0.036982768589936925,0.0011559642589438123,0.001352062891864736,0.0013520628918647366,Shyam Anton,user,145.5
user::ramesh_sekar,0.005494505494505495,2.699206865054772e-06,0.035109975827604535,0.0,0.036994052889151495,0.0010525699084557197,0.0009519635963098279,0.0009519635963098206,Ramesh Sekar,user,147.0
user::ratheesh_kannan,0.005494505494505495,2.699206865054772e-06,0.035109975827604535,0.0,0.036994052889151474,0.0010525699084557197,0.0009519635963098261,0.0009519635963098334,Ratheesh Kannan,user,147.125
user::mukesh_kumar,0.005494505494505495,0.0,0.012558869701726845,0.0,0.03698642908565936,0.0011914524060407624,4.5825020131073005e-18,6.678795778535796e-18,Mukesh Kumar,user,150.375
user::kailash_kattalay,0.005494505494505495,0.0,0.034730701397368065,0.0,0.036978994364433575,0.0011856798579178863,0.0011504347991387817,0.0011504347991387826,Kailash Kattalay,user,150.5
user::sakthi_prabhu,0.005494505494505495,0.0,0.012558869701726845,0.0,0.036986429085659384,0.0011914524060407624,4.107486560529105e-18,5.66685702421219e-18,Sakthi Prabhu,user,150.625
user::sathish_kumar,0.005494505494505495,0.0,0.012558869701726845,0.0,0.03698642908565936,0.0011914524060407624,4.750154525781958e-18,5.464469273347469e-18,Sathish Kumar,user,150.625
user::haribaskar_k,0.005494505494505495,0.0,0.034730701397368065,0.0,0.036978994364433575,0.0011856798579178863,0.0011504347991387817,0.0011504347991387821,Haribaskar K,user,150.75
user::vignesh_m_k_v_family,0.005494505494505495,0.0,0.034730701397368065,0.0,0.03697899436443356,0.0011856798579178863,0.0011504347991387817,0.0011504347991387826,Vignesh M K V Family,user,150.75
user::kathiravan_piramuthu,0.005494505494505495,0.0,0.012558869701726845,0.0,0.03698642908565939,0.0011914524060407624,4.1540567029387324e-18,5.329544106104322e-18,Kathiravan Piramuthu,user,150.75
user::giftson_david,0.005494505494505495,0.0,0.034730701397368065,0.0,0.03698278795317358,0.0011438993900305067,0.0007404243473866761,0.0007404243473866741,Giftson David,user,150.75
