node,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,katz_centrality,pagerank,hits_hub,hits_authority,label,node_type,average_rank
place::ChIJl59G2XAvBDsRItkS__oPRJw,0.44654088050314467,0.00010558000765786771,0.5176173478060271,0.0,0.09988469603592613,0.008149183971925817,0.01250689279957366,0.012506892799573661,Yanai parai,place,60.25
place::ChIJQ1jykPgqBDsRWh_K8EP8SzM,0.13836477987421383,0.018284106891701825,0.42695188879541723,0.0,-0.012872994834605423,0.005387493396695265,0.00305122576653671,0.003051225766536707,Eco park courtallam,place,60.875
place::ChIJpyjnUcgqBDsRqKglR-rR6ic,0.13836477987421383,0.036462065122203645,0.40872833256634455,0.0,-0.024739176835906,0.005835806986934201,0.002309157076351261,0.00230915707635126,Kannupuli Mettu Falls,place,61.0
place::ChIJWfsnAAArBDsRyb5q2KR_aoU,0.11949685534591195,0.02884589868110289,0.4352691333823409,0.0,-0.02656346018401716,0.005538613073506705,0.0020551523687315234,0.002055152368731523,Gundaru dam Boating,place,62.25
place::ChIJ9Ri3vj2dBjsRuUVf6SNP2fk,0.17610062893081763,0.05060637422710505,0.4513902123965017,0.0,-0.052915442891208586,0.008530232925989924,0.0014638522372540065,0.0014638522372540067,Tenkasi,place,64.0
place::ChIJER8LMBfVBTsR75-rEdGnPi4,0.08805031446540881,0.02611257065520261,0.40259127051579885,0.0,-0.02515604719464387,0.004950848870738668,0.0017058762191790244,0.0017058762191790242,Rajathottam view Point,place,66.875
place::ChIJD43vCQCHBjsRweVMYff8XNw,0.11949685534591195,0.005254358729400525,0.421581424785412,0.0,-0.025957669474602985,0.004184052822813386,0.0020975512715046517,0.00209755127150465,Dam View Point,place,70.375
place::ChIJnzg1ZEyQBjsRGfXYSNapEy8,0.15723270440251574,0.026218719316402617,0.4439168645091424,0.0,-0.06135149992306035,0.007741136342117467,0.00066350587847963,0.0006635058784796295,Agasthiyar Temple,place,71.625
place::ChIJgUzFlGGHBjsRhNQqli9BmKo,0.10062893081761007,0.008916487540800891,0.40380389482458134,0.0,-0.030645595368683134,0.004043196905495137,0.0016369439008605481,0.0016369439008605481,Mekkarai paddy field View Point,place,72.125
place::ChIJLadwo8YpBDsRT3xwA0_FTbw,0.169811320754717,0.008399012817450839,0.4352691333823409,0.0,-0.06761873322304107,0.009139173977792127,0.0005006061244247724,0.0005006061244247728,Kulasekaranathar Temple,place,73.0
