:START_ID(Place),:END_ID(Place),weight,:TYPE
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJWRNsgJU3BDsRSULsvBpnuQs,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJQ96D1M8rBDsRqt6w84FGNmw,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJHfKoNpbtBjsRbySESoZ8Eqc,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJn6PVEciBBjsRUaH9qRKGb0A,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJW6hgB1-DBjsRtONaTppN-qM,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJq6raASnWBTsRg6MRD__traA,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJzToWHj8pBDsRNvVdi62xu1g,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ4_gKm7MrBDsRKsWWQp_WprM,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJLRKQ_zkpBDsR2Ss9Ye4itMg,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJOUefPGkxBDsRLVNIHIf6eAw,3.35,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJp6hF5x4rBDsRl1Fk7DNCBUg,3.35,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ59WpP4UpBDsR5oYgTYmyhno,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ36JWOwC5BjsRugbLvK0JrnA,3.85,CO_VISITED
ChIJq0u5QegpBDsRAjW5G91ajmk,ChIJOXLCPOgpBDsR1ahseikbHMM,5.235,CO_VISITED
ChIJq0u5QegpBDsRAjW5G91ajmk,ChIJA9XmEZaXBjsREmckXJgSs8g,5.6,CO_VISITED
ChIJq0u5QegpBDsRAjW5G91ajmk,ChIJh_EnhcOABjsRHN91tNw1LuI,11.85,CO_VISITED
ChIJq0u5QegpBDsRAjW5G91ajmk,ChIJKav0Do8pBDsRONXe_wPVWg4,3.85,CO_VISITED
ChIJq0u5QegpBDsRAjW5G91ajmk,ChIJTQ51yEc5BDsRchgzbmWedQM,3.85,CO_VISITED
ChIJq0u5QegpBDsRAjW5G91ajmk,ChIJv4DWN_M7BDsRLxeax-9oHoE,3.85,CO_VISITED
ChIJq0u5QegpBDsRAjW5G91ajmk,ChIJXS_d0_rsBjsR625dSb4lWg4,3.85,CO_VISITED
ChIJq0u5QegpBDsRAjW5G91ajmk,ChIJWdA66vGHBjsRhYoqWoO-3X0,4.0,CO_VISITED
ChIJq0u5QegpBDsRAjW5G91ajmk,ChIJnzg1ZEyQBjsRGfXYSNapEy8,3.85,CO_VISITED
ChIJq0u5QegpBDsRAjW5G91ajmk,ChIJnxEU5r8pBDsRUriXx2MH-XI,3.85,CO_VISITED
ChIJq0u5QegpBDsRAjW5G91ajmk,ChIJjfO2v0cjBDsRsKc-LKoWRkQ,3.85,CO_VISITED
ChIJq0u5QegpBDsRAjW5G91ajmk,ChIJLadwo8YpBDsRT3xwA0_FTbw,5.11,CO_VISITED
ChIJq0u5QegpBDsRAjW5G91ajmk,ChIJ9Ri3vj2dBjsRuUVf6SNP2fk,3.85,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJh_EnhcOABjsRHN91tNw1LuI,3.85,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJ2TouncYpBDsRX7hAWeaci8A,3.656,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJKav0Do8pBDsRONXe_wPVWg4,5.174,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJTQ51yEc5BDsRchgzbmWedQM,5.438,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJv4DWN_M7BDsRLxeax-9oHoE,3.85,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJ695M_corBDsRnPDPpXIaNdY,3.75,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJXS_d0_rsBjsR625dSb4lWg4,3.85,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJB9v7CsUpBDsR9m63ZDC_Z0Q,3.75,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJzenf9bgjBDsRKu4PTt-7chk,3.288,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJnzg1ZEyQBjsRGfXYSNapEy8,5.65,CO_VISITED
