:START_ID(User),:END_ID(User),weight,:TYPE
ganesh_m,sree_nath,1.0,SIMILAR_USER
ganesh_m,deva_pavi,1.0,SIMILAR_USER
ganesh_m,future_tricks2_0,1.0,SIMILAR_USER
ganesh_m,muhammed_salih_ahamed_athaullah,1.0,SIMILAR_USER
chitra_murali,rahul_s,1.0,SIMILAR_USER
chitra_murali,sathishkumar_balakrishnan,1.0,SIMILAR_USER
chitra_murali,venkat,1.0,SIMILAR_USER
rahul_s,sathishkumar_balakrishnan,1.0,SIMILAR_USER
rahul_s,venkat,1.0,SIMILAR_USER
sathishkumar_balakrishnan,venkat,1.0,SIMILAR_USER
gayathri_shri_kashyap,haston_kumar,1.0,SIMILAR_USER
gayathri_shri_kashyap,prem_kumar,1.0,SIMILAR_USER
gayathri_shri_kashyap,sajin_shereef,1.0,SIMILAR_USER
gayathri_shri_kashyap,snabak_vinod_aj,1.0,SIMILAR_USER
haston_kumar,prem_kumar,1.0,SIMILAR_USER
haston_kumar,sajin_shereef,1.0,SIMILAR_USER
haston_kumar,snabak_vinod_aj,1.0,SIMILAR_USER
prem_kumar,sajin_shereef,1.0,SIMILAR_USER
prem_kumar,snabak_vinod_aj,1.0,SIMILAR_USER
sajin_shereef,snabak_vinod_aj,1.0,SIMILAR_USER
aravind_r_chandran,blessy_babu,1.0,SIMILAR_USER
aravind_r_chandran,greewin_mathew,1.0,SIMILAR_USER
aravind_r_chandran,joshith_jacob,1.0,SIMILAR_USER
blessy_babu,greewin_mathew,1.0,SIMILAR_USER
blessy_babu,joshith_jacob,1.0,SIMILAR_USER
greewin_mathew,joshith_jacob,1.0,SIMILAR_USER
anupam_purbey,devarshi_raj,1.0,SIMILAR_USER
anupam_purbey,dr_kartik_bhadra,1.0,SIMILAR_USER
anupam_purbey,neelesh_panchal,1.0,SIMILAR_USER
anupam_purbey,santhosh_sankaran,1.0,SIMILAR_USER
devarshi_raj,dr_kartik_bhadra,1.0,SIMILAR_USER
devarshi_raj,neelesh_panchal,1.0,SIMILAR_USER
devarshi_raj,santhosh_sankaran,1.0,SIMILAR_USER
dr_kartik_bhadra,neelesh_panchal,1.0,SIMILAR_USER
dr_kartik_bhadra,santhosh_sankaran,1.0,SIMILAR_USER
neelesh_panchal,santhosh_sankaran,1.0,SIMILAR_USER
abid_suhail,nari_soundarrajan,1.0,SIMILAR_USER
abid_suhail,naveen_ks,1.0,SIMILAR_USER
abid_suhail,sethu_n,1.0,SIMILAR_USER
abid_suhail,subhra_kar,1.0,SIMILAR_USER
abid_suhail,bugra_alkan,1.0,SIMILAR_USER
abid_suhail,hari_pranav,1.0,SIMILAR_USER
abid_suhail,saravanan_m,1.0,SIMILAR_USER
abid_suhail,vimal_kumar,1.0,SIMILAR_USER
nari_soundarrajan,naveen_ks,1.0,SIMILAR_USER
nari_soundarrajan,sethu_n,1.0,SIMILAR_USER
nari_soundarrajan,subhra_kar,1.0,SIMILAR_USER
