:START_ID(User),:END_ID(Place),rating,review_text,:TYPE
sesha_srinivasa_murthy_putrevu,ChIJOXLCPOgpBDsR1ahseikbHMM,5,"Arulmigu Kasi Viswanathar Temple, Tenkasi is one of the most prominent Shaiva temples in Tamil Nadu, located in the town of Tenkasi near the Western Ghats. The temple is dedicated to Lord Shiva worshipped as Kasi Viswanathar, with Goddess Ulagamman as his consort. It is popularly known as the “Kasi of the South,” as legend says that devotees who could not travel to Varanasi (Kasi) could worship here and receive the same spiritual merit.
The temple was built in the 15th century by King Parakrama Pandya of the Pandya dynasty. The most striking feature of the temple is its majestic nine-tiered Rajagopuram, rising to a height of about 180 feet, making it one of the tallest temple towers in Tamil Nadu. The gopuram is richly adorned with detailed sculptures depicting scenes from Hindu mythology.
According to legend, a sacred Shiva Lingam from Kasi was installed here after divine intervention, leading to the name Tenkasi (Southern Kasi). The temple is also closely associated with the holy Chittra Sabhai and sacred theerthams.
Major festivals such as Masi Magam, Aadi Thapasu, and Shivaratri are celebrated with great devotion. The temple stands as a fine blend of spiritual significance, history, and Dravidian architectural grandeur.
Great Architectural n engineering marvel of this Rajagopuram is that if devotees who enter the temple are pushed to the inside of the temple by the air. At the same time if devotees who are coming out are being pushed out side by the air at the same time.  This is the power of the temple",REVIEWED
subrata_b,ChIJOXLCPOgpBDsR1ahseikbHMM,5,"The Tenkasi Viswanathar Temple is a spiritually powerful and architecturally magnificent Shiva temple, often referred to as “Dakshina Kasi” (Kasi of the South).

Dedicated to Lord Shiva as Viswanathar and Goddess Parvathi as Ulagamman, the temple offers a deeply serene and divine experience.",REVIEWED
shravan_srinivasan,ChIJOXLCPOgpBDsR1ahseikbHMM,5,Beautiful temple.. intricate architecture very peaceful and beautiful. So well constructed. There is some parking for bikes right outside the temple. Temple has just one gopuram but this side even srivilliputhur is also similar. The govt folks are adamant that you leave your mobile in the locker for Rs 5. But that's good cos you don't see any posers,REVIEWED
raghu_b,ChIJh_EnhcOABjsRHN91tNw1LuI,5,"Hi 👋 Namaste I am from Bengaluru and I visited this Beautiful Temple on 26/02/26.
1) Temple is called Arulmigu Thirukumaramalaisamy Temple.
2) Located in a village called Panbozhi,  3) Temple is Located on top a hill in the Tenkasi district.
4) Temple is located about 13kms from Tenkasi Bus Stand.
5)This temple offers a perfect blend of spiritual serenity and breathtaking natural beauty.
6)The panoramic view of the lush green coconut plantations and the Western Ghats from the hilltop is spectacular.
7)It's a paradise for nature lovers and photographers.
8)The stone carvings are exquisite—especially the massive peacock etched into the side of the stairs & The golden 'Om' symbol flanked by colorful peacocks is a great spot for a peaceful moment.
9)You can reach the top via the 625 steps (which is a great climb) or take the motorable road that goes right up to the temple.
10)The temple is well-maintained and carries a very positive vibration. It is also known as a 'Vishakha Nakshatra' temple, making it very special for many devotees.
11) People who are coming on there own Vehicles can go upto Temple just by paying 50/30/20rs..for Bus/Car/Bike below the hill.
12) Google Maps will take you exactly to the Temple itself.
13) People coming from Bus or Train u should come to Tenkasi well connected by Road and Railway Line.
14) From Railway station or Old Bus stand come to New Tenkasi Bus Stand
15) From Tenkasi New Bus stand u will get Govt and Private Bus directly to Temple hill Bottom.
16) From Hill Bottom 2 ways to reach by climbing Steps (650) or By Temple Mini Van 10rs per person.
17) Small shops are available for Pooja items and for Snacks.
18) No Accommodation is available better to stay in Tenkasi or Sengottai..
19) Drinking water, Washrooms r available above hill also
Footware Stand is available at Bottom
of the hill.
20) Free Lunch is available every day from 1PM onwards.
21) Number of Films are shouted in front of Temple and below the Temple also PUSHPA film was also filmed here only.",REVIEWED
rijas_galleria,ChIJh_EnhcOABjsRHN91tNw1LuI,5,"We visited Arulmigu Thirumalai Kumaraswamy Temple during our bike trip from Trivandrum district to Tenkasi, and the experience was truly memorable and spiritually refreshing.

The journey itself was beautiful, with pleasant climate, fresh mountain air, and scenic surroundings that made the ride enjoyable. Reaching the temple gives a strong devotional and peaceful vibe, perfect for those seeking spiritual calm away from city life.

There is a bike entry pass charge of ₹20, which is very reasonable. The parking area is well-maintained and spacious, making it convenient even during busy hours. The road leading up to the temple is smooth and offers excellent wide views of the surrounding hills and nature, which is a treat for bikers and nature lovers.

The temple premises are clean and well organized. The atmosphere is deeply devotional, and the location on the hill adds a divine charm. From the top, you can enjoy breathtaking panoramic views, making this place not just a religious destination but also a perfect spot for photography and peaceful moments.",REVIEWED
pratheesh_harish,ChIJh_EnhcOABjsRHN91tNw1LuI,5,"I recently visited Arulmigu Thirukumaramalaisamy Temple in Panbozhi, and it was a truly soul-stirring experience. Located atop a hill in the Tenkasi district, this temple offers a perfect blend of spiritual serenity and breathtaking natural beauty.
The panoramic view of the lush green coconut plantations and the Western Ghats from the hilltop is spectacular. It's a paradise for nature lovers and photographers.
The stone carvings are exquisite—especially the massive peacock etched into the side of the stairs. The golden 'Om' symbol flanked by colorful peacocks is a great spot for a peaceful moment.
You can reach the top via the 625 steps (which is a great climb) or take the motorable road that goes right up to the temple.
The temple is well-maintained and carries a very positive vibration. It is also known as a 'Vishakha Nakshatra' temple, making it very special for many devotees.",REVIEWED
ramesh_kumar,ChIJh_EnhcOABjsRHN91tNw1LuI,5,"Thirumalai Kumaraswamy Temple, Panpoli – The Breathtaking Hilltop Retreat

Historical Significance (The Hilltop Murugan):
The Arulmigu Thirumalai Kumaraswamy Temple, a sacred hilltop shrine nestled in Panpoli near Sengottai in the Tenkasi district, is a remarkable example of Dravidian hill architecture dedicated to Lord Murugan. Situated at an elevation of around 330 meters in the lush Western Ghats, this temple is revered as a Vaippu Sthalam, praised in ancient Tamil hymns, and holds special significance for devotees born under the Vishakha Nakshatra. Legend connects the site to the great Sage Agasthiar, who is said to have received darshan from Lord Murugan here, adding profound spiritual depth to its stunning natural location. The temple has long been a major pilgrimage site, but thanks to its recent popularity boost, it's now firmly on the global traveller's map.

The Global Reviewer's Experience:
As a reviewer who judges destinations on their ability to offer both spiritual enlightenment and visual spectacle, I can confirm: this spot is truly mesmerizing, and I'm already eager to plan a return!

My journey was a simple detour while en route to Courtallam and Tenkasi, yet this temple stole the show. It’s gained massive recognition recently—and rightly so—after being used as a shooting location for the globally famous Pushpa movie (and I'm sure it'll be prominent in Pushpa 2). While the cinematic connection was the initial pull, the two surprises that followed are what made the trip unforgettable.

First, the realization that this beautiful hill has been a backdrop for numerous Tamil movies over the years. You can practically feel the cinematic history in the air! Second, and most beautiful, was the sheer ambience. Wow! I can still feel the chillness of the breeze now. Surrounded by the majestic Eastern Ghats, with the dam glittering below and endless stretches of green rice fields blanketing the valley, the views are picture-perfect at every turn. We were lucky enough to even catch a glorious rainbow arcing across the hilltop—a moment of pure, divine magic.

The road winding up the mountain, though small, felt like a scenic tour itself, offering one stunning vista after another. We absolutely revealed in the refreshing breeze, the panoramic views, and the sacred atmosphere. Unfortunately, because we visited in the afternoon, the temple was closed, and we missed the darshan. But honestly, the pilgrimage was complete just by experiencing the surroundings.

A Note on Cleanliness and Responsibility:
I must address one truly disheartening sight. It was truly horrible to see so many discarded plastic covers, bottles, food waste, and even slippers dumped, making parts of this beautiful, sacred spot resemble a dumpyard. We need to be mindful when visiting common areas, particularly a revered pilgrimage site like this. Did we keep garbage around our own deity? Let’s exercise a basic sense of responsibility before pointing fingers at the government or temple administration—the root cause of this mismanagement is often the visitors themselves.

Final Verdict:
I strongly recommend this temple to all travellers jamming the famous Courtallam falls: please carve out some time to visit Thirumalai. You’ll find a level of peace, beauty, and history here that makes it an essential stop on any South Indian itinerary. We'll definitely be back for that darshan!",REVIEWED
sarath_kumar_s,ChIJh_EnhcOABjsRHN91tNw1LuI,5,"Peaceful and calm temple with a very positive atmosphere. Thirumalai Kovil is surrounded by nature, and the place feels quiet and relaxing. The temple is well maintained, and the surroundings add to the spiritual experience. A nice place to spend some peaceful time and for anyone looking for a calm temple visit.",REVIEWED
starlet_esther,ChIJs-vSFNY3BDsR89RjoQRctKQ,5,"On Monday, I visited Agasthiyar Falls along with my family, and it turned out to be a refreshing and memorable experience.
Parking facilities are available, which makes it convenient for visitors. From the parking area, we had to walk a little to reach the falls. The short walk itself was enjoyable, surrounded by greenery and fresh air.
Since it was a Monday, there was not much crowd, which made the place even more peaceful. Once we reached the falls, the sight of the cascading water amidst the natural surroundings was truly soothing. We enjoyed a relaxing bath in the cool, clean water — a perfect way to unwind and refresh.
There are rooms available for changing clothes, which is very helpful for families. The entire place feels like resting in the lap of nature, with hills, trees, and the pleasant sound of flowing water creating a calm atmosphere.
Monkeys can be seen around the area, which adds to the forest charm — but visitors should be careful with their belongings.
Overall, it was a wonderful family outing filled with relaxation, nature, and joy. A perfect destination for those who love peaceful natural spots and simple pleasures.",REVIEWED
kannan_ramachandran,ChIJs-vSFNY3BDsR89RjoQRctKQ,5,"Amazing views and the water flow was good as well.
Entry fees is 20₹ when you come inside the forest check post.
Parking is good. You can park multiple cars and vans.
People who come beware of the monkeys in the parking area.

Please don't throw diapers and other plastic items (shampoo, soaps, etc) near the waterfalls. It is our responsibility to protect the nature. I am requesting everyone 🙏 If you are reading this kindly spread this thought to others as well.

Just enjoy the nature and relax. Don't spoil it.",REVIEWED
srivenkatbabu_sinnasami,ChIJs-vSFNY3BDsR89RjoQRctKQ,4,Best place to enjoy in waterfall. Lot of parking area. Pls reach before 3 PM. U have lot to see inside the area. Must watch is agasthiyar temple which u need to walk for 10 to 15 min above. Not too tough to walk. But careful while going with kids. Some safety issues are there.,REVIEWED
smruthi_vinayak_rengan,ChIJs-vSFNY3BDsR89RjoQRctKQ,5,"Agasthiyar Falls in Tenkasi district is a literally 'live-in-heaven' kind of place one must visit in their lifetime. Although path to reach can be maintained by local authorities, once you enter the main falls area you would never want to leave. Falls is less crowded compared to Courtrallam and perfect for a peaceful nature break.",REVIEWED
ramchandar_umasankar,ChIJs-vSFNY3BDsR89RjoQRctKQ,1,They charged for vehicle. Very narrow road.. actually there was no road... don't know why they are charging for. No restrooms. Security guards are at the entrance only not beyond that.. some people were smoking and stalking look while we were bathing in the falls. Zero maintenance.,REVIEWED
ganesh_m,ChIJs0Wor3DVBTsR3EUyE5eY0po,5,"Wonderful waterfall... Worth to visit...  Palaruvi Waterfalls – The Stream of Milk in the Western Ghats

Nestled gracefully in the lush folds of the Western Ghats near Aryankavu in Kerala’s Kollam district, Palaruvi Waterfalls is one of the most enchanting natural treasures of South India.  the water cascading down from a height of about 300 feet, you will understand why. The white, frothy water tumbles down the rocky cliff like flowing milk, creating a breathtaking spectacle that captivates every visitor’s heart.

Surrounded by dense tropical forests, misty hills, and the soothing sounds of chirping birds, Palaruvi offers an escape into pure serenity. The journey to the waterfall itself is magical. As you travel through winding roads bordered by rubber plantations and evergreen trees, the cool breeze carries the earthy scent of the forest. The anticipation builds with every step closer to the roaring sound of falling water.

When you finally reach the waterfall, the sight is both powerful and calming. The water crashes onto rocks below, forming a refreshing pool where visitors can enjoy a natural bath. The area is well-maintained and safe for families, making it a popular destination for tourists, nature lovers, photographers, and adventure seekers alike. The cool mountain water is believed to have medicinal properties due to the herbs and roots it flows over in the forest, adding to its charm and significance.

Palaruvi is not just about the waterfall; it is about the entire experience. The surrounding forest is rich in biodiversity, home to various species of plants, butterflies, and birds. During the monsoon season, the waterfall becomes even more majestic, with increased water flow creating a thunderous yet mesmerizing display of nature’s strength. In contrast, the post-monsoon and winter months offer a gentler flow, ideal for bathing and relaxing.

The atmosphere around Palaruvi is filled with peace and positivity. The mist rising from the falls creates a dreamlike aura, especially when sunlight filters through the trees, forming tiny rainbows in the spray. It is a place where one can forget the noise of the world and reconnect with nature’s simplicity. Whether you are standing close to feel the splash on your face or sitting quietly on a rock listening to the rhythm of the water, every moment spent here feels rejuvenating.

Palaruvi Waterfalls is more than just a tourist attraction—it is a reminder of nature’s raw beauty and timeless grace. A visit here is not just a trip; it is a refreshing journey for the soul, leaving behind memories as pure and beautiful as the waterfall itself.... Don't forget to visit....",REVIEWED
sarath_kumar_s,ChIJs0Wor3DVBTsR3EUyE5eY0po,4,"Beautiful waterfall surrounded by greenery. The place feels fresh and peaceful, and the water is really refreshing. It’s a nice spot to relax, take photos, and enjoy nature. Best time to visit is when the water flow is good. Definitely worth a visit.",REVIEWED
g_t_g,ChIJs0Wor3DVBTsR3EUyE5eY0po,5,"We recently visited Palaruvi Waterfalls, and it was an amazing experience! From the ticket counter, it’s about a 3 km ride to the falls, and visitors are taken there by the park’s bus service since private vehicles aren’t allowed. The waterfall offers a stunning view, and bathing in the cool, refreshing water was truly enjoyable. There are changing rooms available for women, which is very convenient. The area does have quite a few monkeys, so it’s best to keep an eye on your belongings and avoid taking food outside. The place wasn’t too crowded, making it perfect for a peaceful trip with family or friends.",REVIEWED
pooja_devi,ChIJs0Wor3DVBTsR3EUyE5eY0po,5,"A must-visit natural wonder!
Palaruvi Waterfall is truly one of the most beautiful waterfalls in Kerala. The name “Palaruvi” means “Stream of Milk,” and it perfectly describes the white, misty flow of the water. The journey through the forest is scenic, peaceful, and full of greenery. The water is cool and refreshing — perfect for a quick dip!

The place is well-maintained with separate areas for families and ladies to bathe safely. There’s also a small parking area, restrooms, and a ticket counter managed by the forest department. The best time to visit is during or right after the monsoon when the waterfall is in full flow.",REVIEWED
anu,ChIJs0Wor3DVBTsR3EUyE5eY0po,5,"Beautiful and Refreshing Waterfall – Must Visit!

Visited Palaruvi Waterfalls and it was a wonderful experience! The view of the waterfall is absolutely stunning, and the sound of the water with the natural greenery around makes it a very refreshing spot. The water is icy cold and clean, straight from nature!

It was quite crowded when I went, especially around the bathing area. Only a small portion is open for bathing, so it gets very rushed, especially on holidays or weekends. I didn’t get into the water due to the crowd, but I think weekdays would be less crowded.

🎟️ Ticket Details:

Adults – ₹70

Kids (above 5 years) – ₹35

Kids below 5 – free

🚍 They provide a bus from the ticket counter to the waterfall, as personal vehicles are not allowed near the falls.

🚗 Parking area is available at the ticket counter itself.

The place felt very safe and well-managed, with friendly staff ensuring proper security and cleanliness.

🌿 Overall, a great spot to connect with nature. Highly recommended, especially on weekdays!",REVIEWED
